"表1-3  105年1至3月來臺旅客人數及成長率－按居住地分
Table 1-3 Visitor Arrivals by Residence,
 January-March,2016",,,,,,,,,,,,
"居住地
Residence",,,"105年1至3月 Jan.-Mar., 2016",,,"104年1至3月 Jan.-Mar.,2015",,,比較 Change +-%,,,
,,,"合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners","合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners","合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners",
亞洲  ASIA,,,"2,568,545 ","1,473,106 ","1,095,439 ","2,200,315 ","1,259,443 ","940,872 ",16.74 ,16.96 ,16.43 ,
,香港.澳門 HongKong. Macao,,"372,773 ","343,824 ","28,949 ","285,991 ","258,539 ","27,452 ",30.34 ,32.99 ,5.45 ,
,大陸 Mainland China,,"1,135,594 ","1,125,926 ","9,668 ","1,007,400 ","997,839 ","9,561 ",12.73 ,12.84 ,1.12 ,
,日本 Japan,,"474,804 ",389 ,"474,415 ","392,778 ",301 ,"392,477 ",20.88 ,29.24 ,20.88 ,
,"韓國 Korea,Republic of",,"218,489 ",764 ,"217,725 ","182,626 ",716 ,"181,910 ",19.64 ,6.70 ,19.69 ,
,印度 India,,"7,960 ",8 ,"7,952 ","7,010 ",7 ,"7,003 ",13.55 ,14.29 ,13.55 ,
,中東 Middle East,,"4,717 ",22 ,"4,695 ","4,567 ",14 ,"4,553 ",3.28 ,57.14 ,3.12 ,
,東南亞 S.E.Asia,,"351,609 ","2,160 ","349,449 ","317,534 ","2,017 ","315,517 ",10.73 ,7.09 ,10.75 ,
,,馬來西亞 Malaysia,"109,811 ",201 ,"109,610 ","101,498 ",172 ,"101,326 ",8.19 ,16.86 ,8.18 ,
,,新加坡 Singapore,"84,015 ",90 ,"83,925 ","76,062 ",87 ,"75,975 ",10.46 ,3.45 ,10.46 ,
,,印尼 Indonesia,"42,185 ",112 ,"42,073 ","42,544 ",93 ,"42,451 ",-0.84 ,20.43 ,-0.89 ,
,,菲律賓 Philippines,"36,777 ",532 ,"36,245 ","32,409 ",539 ,"31,870 ",13.48 ,-1.30 ,13.73 ,
,,泰國 Thailand,"36,108 ",146 ,"35,962 ","26,219 ",112 ,"26,107 ",37.72 ,30.36 ,37.75 ,
,,越南 Vietnam,"39,244 ",954 ,"38,290 ","35,896 ",897 ,"34,999 ",9.33 ,6.35 ,9.40 ,
,,其他 Others,"3,469 ",125 ,"3,344 ","2,906 ",117 ,"2,789 ",19.37 ,6.84 ,19.90 ,
,亞洲其他 Others,,"2,599 ",13 ,"2,586 ","2,409 ",10 ,"2,399 ",7.89 ,30.00 ,7.79 ,
美洲  AMERICA,,,"148,192 ","1,086 ","147,106 ","135,910 ","1,046 ","134,864 ",9.04 ,3.82 ,9.08 ,
,加拿大 Canada,,"25,462 ",93 ,"25,369 ","22,231 ",69 ,"22,162 ",14.53 ,34.78 ,14.47 ,
,美國 United States of America,,"118,082 ",828 ,"117,254 ","109,305 ",757 ,"108,548 ",8.03 ,9.38 ,8.02 ,
,墨西哥 Mexico,,732 ,8 ,724 ,724 ,5 ,719 ,1.10 ,60.00 ,0.70 ,
,巴西 Brazil,,"1,024 ",41 ,983 ,"1,116 ",81 ,"1,035 ",-8.24 ,-49.38 ,-5.02 ,
,阿根廷 Argentina,,399 ,54 ,345 ,310 ,54 ,256 ,28.71 ,0.00 ,34.77 ,
,美洲其他 Others,,"2,493 ",62 ,"2,431 ","2,224 ",80 ,"2,144 ",12.10 ,-22.50 ,13.39 ,
歐洲  EUROPE,,,"73,421 ",136 ,"73,285 ","66,239 ",119 ,"66,120 ",10.84 ,14.29 ,10.84 ,
,比利時 Belgium,,"1,559 ",3 ,"1,556 ","1,431 ",2 ,"1,429 ",8.94 ,50.00 ,8.89 ,
,法國 France,,"10,080 ",17 ,"10,063 ","8,972 ",28 ,"8,944 ",12.35 ,-39.29 ,12.51 ,
,德國 Germany,,"16,353 ",36 ,"16,317 ","14,635 ",30 ,"14,605 ",11.74 ,20.00 ,11.72 ,
,義大利 Italy,,"4,136 ",2 ,"4,134 ","3,737 ",1 ,"3,736 ",10.68 ,100.00 ,10.65 ,
,荷蘭 Netherlands,,"5,174 ",4 ,"5,170 ","4,577 ",6 ,"4,571 ",13.04 ,-33.33 ,13.10 ,
,瑞士 Switzerland,,"2,403 ",15 ,"2,388 ","2,184 ",8 ,"2,176 ",10.03 ,87.50 ,9.74 ,
