,房客數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
列印日期：,,2011/1/31,,資料期間：,,2010年1月至2010年12月(Data for 2010/1~2010/12),,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
台北地區,國際,"2,138,826",75.64%,"3,848","8,231,084,046","9,675,589,372","20,699,950,970","31,092","49,870","16,329","9,209","106,500",,
Taipei,Internation,,,,,,,,,,,,,
台北地區,一般,"451,292",73.82%,"2,370","1,069,541,047","947,350,232","2,379,781,789","5,024","5,879","2,319","1,264","14,486",,
Taipei,Standard,,,,,,,,,,,,,
,小計,"2,590,118",75.31%,"3,591","9,300,625,093","10,622,939,604","23,079,732,759","36,116","55,749","18,648","10,473","120,986",,
,SubTotal,,,,,,,,,,,,,
高雄地區,國際,"752,961",68.96%,"2,279","1,716,063,420","2,258,216,920","4,641,380,599","9,142","14,800","4,241","2,994","31,177",,
Kaohsiung,Internation,,,,,,,,,,,,,
高雄地區,一般,"1,300",27.96%,"3,025","3,932,181","28,145","5,280,918",40,39,6,6,91,,
Kaohsiung,Standard,,,,,,,,,,,,,
,小計,"754,261",68.79%,"2,280","1,719,995,601","2,258,245,065","4,646,661,517","9,182","14,839","4,247","3,000","31,268",,
,SubTotal,,,,,,,,,,,,,
台中地區,國際,"317,746",68.82%,"2,129","676,459,240","1,046,330,417","2,062,086,359","4,714","6,816","2,328",986,"14,844",,
Taichung,Internation,,,,,,,,,,,,,
台中地區,一般,"42,691",78.50%,"3,221","137,514,051","256,569,802","440,892,574",719,"1,585",244,422,"2,970",,
Taichung,Standard,,,,,,,,,,,,,
,小計,"360,437",69.84%,"2,258","813,973,291","1,302,900,219","2,502,978,933","5,433","8,401","2,572","1,408","17,814",,
,SubTotal,,,,,,,,,,,,,
花蓮地區,國際,"325,134",64.46%,"2,531","822,911,508","506,772,204","1,425,371,635","4,329","4,495","1,247","1,379","11,450",,
Hualien,Internation,,,,,,,,,,,,,
,小計,"325,134",64.46%,"2,531","822,911,508","506,772,204","1,425,371,635","4,329","4,495","1,247","1,379","11,450",,
,SubTotal,,,,,,,,,,,,,
風景區,國際,"433,274",62.40%,"4,481","1,941,436,432","1,121,093,744","3,447,695,409","7,043","8,102","3,327","6,900","25,372",,
Scenic Area,Internation,,,,,,,,,,,,,
風景區,一般,"86,349",49.12%,"1,892","163,409,490","98,439,563","296,108,541",800,923,579,505,"2,807",,
Scenic Area,Standard,,,,,,,,,,,,,
,小計,"519,623",59.71%,"4,051","2,104,845,922","1,219,533,307","3,743,803,950","7,843","9,025","3,906","7,405","28,179",,
,SubTotal,,,,,,,,,,,,,
桃竹苗地區,國際,"448,554",63.60%,"2,307","1,034,996,792","1,137,440,212","2,536,686,552","5,904","8,227","3,102","1,818","19,051",,
TauHsiuMiao,Internation,,,,,,,,,,,,,
桃竹苗地區,一般,"257,174",68.32%,"2,162","555,917,091","571,545,465","1,223,635,630","2,304","3,942","1,142",996,"8,384",,
TauHsiuMiao,Standard,,,,,,,,,,,,,
,小計,"705,728",65.24%,"2,254","1,590,913,883","1,708,985,677","3,760,322,182","8,208","12,169","4,244","2,814","27,435",,
,SubTotal,,,,,,,,,,,,,
其他地區,國際,"473,793",58.20%,"2,921","1,384,159,317","1,676,817,260","3,409,029,614","7,834","12,049","4,936","2,565","27,384",,
Other,Internation,,,,,,,,,,,,,
其他地區,一般,"137,084",49.99%,"2,152","294,972,859","110,578,473","463,275,857","1,726",906,803,496,"3,931",,
Other,Standard,,,,,,,,,,,,,
,小計,"610,877",56.13%,"2,749","1,679,132,176","1,787,395,733","3,872,305,471","9,560","12,955","5,739","3,061","31,315",,
,SubTotal,,,,,,,,,,,,,
,總計,"5,866,178",68.24%,"3,074","18,032,397,474","19,406,771,809","43,031,176,447","80,671","117,633","40,603","29,540","268,447",,
,Total,,,,,,,,,,,,,
,,,,,,,,,,,,,,
類別,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Kind,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
國際,"233,378","4,890,288",68.88%,"3,232","15,807,110,755","17,422,260,129","38,222,201,138","70,058","104,359","35,510","25,851","235,778",,
Internation,,,,,,,,,,,,,,
一般,"49,180","975,890",65.20%,"2,280","2,225,286,719","1,984,511,680","4,808,975,309","10,613","13,274","5,093","3,689","32,669",,
Standard,,,,,,,,,,,,,,
小計,"282,558","5,866,178",68.24%,"3,074","18,032,397,474","19,406,771,809","43,031,176,447","80,671","117,633","40,603","29,540","268,447",,
SubTotal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
列印日期：,2011/1/31,台北地區,,資料期間：,,2010年1月至2010年12月(Data for 2010/1~2010/12),,,,,,,,
,,Taipei,,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
圓山大飯店,"5,844","120,416",67.74%,"3,346","402,872,847","581,751,761","1,269,215,252","2,338","3,166","1,534","1,131","8,169",,
The Grand Hotel,,,,,,,,,,,,,,
國賓大飯店,"5,112","104,554",67.24%,"3,382","353,552,791","842,474,780","1,300,321,876","1,403","2,632",396,620,"5,051",,
The Ambassador Hotel,,,,,,,,,,,,,,
台北華國大飯店,"3,456","77,138",73.38%,"2,569","198,178,177","163,425,450","394,462,212",892,"1,237",238,512,"2,879",,
Imperial Hotel Taipei,,,,,,,,,,,,,,
華泰王子大飯店,"2,511","61,839",80.99%,"2,990","184,924,056","122,386,203","328,692,719",909,922,762,135,"2,728",,
Gloria Prince Hotel,,,,,,,,,,,,,,
國王大飯店,"1,176","20,394",57.01%,"1,534","31,288,759","9,027,990","41,621,228",383,132,252,0,767,,
Emperor Hotel,,,,,,,,,,,,,,
豪景大酒店,"2,300","58,324",83.39%,"1,916","111,720,623","56,913,980","172,309,895",542,394,180,0,"1,116",,
Hotel Riverview Taipei,,,,,,,,,,,,,,
台北凱撒大飯店,"4,872","131,206",88.54%,"3,113","408,472,358","214,781,531","689,942,427",813,"1,113",276,515,"2,717",,
Caesar Park Hotel Taipei,,,,,,,,,,,,,,
康華大飯店,"2,580","57,375",73.11%,"2,217","127,173,304","128,095,015","268,557,097",661,964,435,0,"2,060",,
