 ,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
列印日期：,,2016/2/19,,資料期間：,,2015年1月至2015年12月(Data for 2015/1～2015/12),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"2,281,411",74.95%,"4,811","10,976,511,064","12,421,236,019","26,652,994,740","34,478","59,449","21,095","8,848","123,870",,,,,,
臺北地區 Taipei,一般Standard,"667,911",78.67%,"3,671","2,451,638,962","2,470,636,731","5,606,732,572","9,310","11,558","4,415","3,304","28,587",,,,,,
臺北地區 Taipei,小計SubTotal,"2,949,322",75.76%,"4,553","13,428,150,026","14,891,872,750","32,259,727,312","43,788","71,007","25,510","12,152","152,457",,,,,,
高雄地區 Kaohsiung,國際Internation,"761,286",72.20%,"2,422","1,843,949,412","2,501,250,652","4,895,670,048","9,717","15,304","4,524","4,109","33,654",,,,,,
高雄地區 Kaohsiung,一般Standard,"50,545",51.45%,"2,219","112,135,613","67,101,821","180,565,613",534,489,98,67,"1,188",,,,,,
高雄地區 Kaohsiung,小計SubTotal,"811,831",70.43%,"2,409","1,956,085,025","2,568,352,473","5,076,235,661","10,251","15,793","4,622","4,176","34,842",,,,,,
臺中地區 Taichung,國際Internation,"281,474",67.82%,"2,503","704,472,461","1,076,279,904","2,152,538,095","4,670","7,387","2,368","1,637","16,062",,,,,,
臺中地區 Taichung,一般Standard,"88,871",69.77%,"2,467","219,217,647","359,782,928","640,193,222","1,209","2,608",515,437,"4,769",,,,,,
臺中地區 Taichung,小計SubTotal,"370,345",68.28%,"2,494","923,690,108","1,436,062,832","2,792,731,317","5,879","9,995","2,883","2,074","20,831",,,,,,
花蓮地區 Hualien,國際Internation,"312,750",63.10%,"2,469","772,085,894","589,743,878","1,465,007,372","3,759","4,774","1,378","1,860","11,771",,,,,,
花蓮地區 Hualien,小計SubTotal,"312,750",63.10%,"2,469","772,085,894","589,743,878","1,465,007,372","3,759","4,774","1,378","1,860","11,771",,,,,,
風景區 Scenic Area,國際Internation,"495,801",69.48%,"5,618","2,785,272,083","1,433,471,104","4,668,238,369","7,823","9,068","3,245","7,170","27,306",,,,,,
風景區 Scenic Area,一般Standard,"88,148",47.77%,"2,833","249,706,660","138,652,232","415,174,626","1,080","1,072",753,424,"3,329",,,,,,
風景區 Scenic Area,小計SubTotal,"583,949",65.02%,"5,197","3,034,978,743","1,572,123,336","5,083,412,995","8,903","10,140","3,998","7,594","30,635",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"566,680",79.25%,"2,774","1,572,037,243","1,549,949,826","3,581,984,497","6,159","9,714","2,964","2,119","20,956",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"303,991",59.66%,"2,441","741,950,905","675,905,052","1,520,013,057","3,327","5,125","1,130","1,279","10,861",,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"870,671",71.10%,"2,658","2,313,988,148","2,225,854,878","5,101,997,554","9,486","14,839","4,094","3,398","31,817",,,,,,
其他地區 Other,國際Internation,"641,128",60.72%,"4,066","2,607,000,797","2,589,006,889","5,929,939,986","9,885","16,198","6,197","4,588","36,868",,,,,,
其他地區 Other,一般Standard,"204,534",48.18%,"2,547","520,986,379","280,611,943","870,166,352","2,857","2,780","1,408",430,"7,475",,,,,,
其他地區 Other,小計SubTotal,"845,662",57.12%,"3,699","3,127,987,176","2,869,618,832","6,800,106,338","12,742","18,978","7,605","5,018","44,343",,,,,,
,總計 Total,"6,744,530",69.62%,3789,"25,556,965,120","26,153,628,979","58,579,218,549","94,808","145,526","50,090","36,272","326,696",,,,,,
,,,,,,,,,,,,,,,,,,
類別,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Kind,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
國際Internation,"246,363","5,340,530",71.27%,3981,"21,261,328,954","22,160,938,272","49,346,373,107","76,491","121,894","41,771","30,331","270,487",,,,,,
