 ,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
列印日期：,,2016/5/2,,資料期間：,,2016年1月至2016年3月(Data for 2016/1～2016/3),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"587,321",72.60%,"4,844","2,844,973,879","3,504,681,153","7,199,658,010","9,235","16,005","5,446","2,402","33,088",,,,,,
臺北地區 Taipei,一般Standard,"170,098",79.75%,"3,922","667,176,614","669,032,226","1,534,371,394","2,300","2,947","1,131",856,"7,234",,,,,,
臺北地區 Taipei,小計SubTotal,"757,419",74.09%,"4,637","3,512,150,493","4,173,713,379","8,734,029,404","11,535","18,952","6,577","3,258","40,322",,,,,,
高雄地區 Kaohsiung,國際Internation,"185,546",70.58%,"2,596","481,658,595","725,928,853","1,339,107,605","2,538","3,850","1,032","1,057","8,477",,,,,,
高雄地區 Kaohsiung,一般Standard,"11,858",52.12%,"2,308","27,365,636","16,110,848","43,925,375",124,124,16,21,285,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"197,404",69.11%,"2,579","509,024,231","742,039,701","1,383,032,980","2,662","3,974","1,048","1,078","8,762",,,,,,
臺中地區 Taichung,國際Internation,"62,447",60.35%,"2,742","171,207,950","288,556,879","541,897,813","1,171","1,874",615,394,"4,054",,,,,,
臺中地區 Taichung,一般Standard,"22,620",71.22%,"2,540","57,455,662","96,788,347","170,307,616",280,619,117,118,"1,134",,,,,,
臺中地區 Taichung,小計SubTotal,"85,067",62.91%,"2,688","228,663,612","385,345,226","712,205,429","1,451","2,493",732,512,"5,188",,,,,,
花蓮地區 Hualien,國際Internation,"66,491",53.80%,"2,534","168,466,220","137,267,708","325,668,664",846,"1,128",321,477,"2,772",,,,,,
花蓮地區 Hualien,小計SubTotal,"66,491",53.80%,"2,534","168,466,220","137,267,708","325,668,664",846,"1,128",321,477,"2,772",,,,,,
風景區 Scenic Area,國際Internation,"120,555",68.32%,"5,614","676,749,865","346,722,984","1,121,882,539","1,992","2,246","1,004","1,523","6,765",,,,,,
